REGION,PROVINCIA,DISTRITO,CODIGO,NOMBRE,CATEGORIA,TIPO,SUBTIPO,URL,LATITUD,LONGITUD
Lima,Lima,LIMA,"4,602",Chicha Morada,3. FOLCLORE,Gastronomía,Bebidas Típicas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4602,-77.0323,-12.0467
Madre De Dios,Tambopata,INAMBARI,"4,603",Pueblo Tradicional De La Comunidad Nativa Boca Inambari,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4603,-69.7363132238388,-12.718643377117186
Lima,Lima,LIMA,"4,604",Zanguito,3. FOLCLORE,Gastronomía,Dulces Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4604,-77.0323,-12.0467
Ica,Ica,ICA,"4,605",Festival  Internacional De La Vendimia Iqueña,5. ACONTECIMIENTOS PROGRAMADOS,Eventos,Festivales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4605,,
Arequipa,Camana,MARISCAL CÁCERES,"4,606",Pueblo Tradicional San José,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4606,-72.73597853372956,-16.61964299999997
Lima,Lima,LIMA,"4,607",Ranfañote,3. FOLCLORE,Gastronomía,Dulces Típicos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4607,-77.0323,-12.0467
Arequipa,Caylloma,SIBAYO,"4,608",Wititi,3. FOLCLORE,Músicas y Danzas,Música y Danzas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4608,-71.4586,-15.4861
Arequipa,Arequipa,TIABAYA,"4,610",Iglesia Santiago Apóstol,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4610,-71.59115195274353,-16.44985325892749
Madre De Dios,Manu,MADRE DE DIOS,"4,613",Lago Las Malvinas,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4613,-70.11783599853516,-12.614273140656486
Lima,Lima,LIMA,"4,614",Jirón De La Unión,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Paseos peatonales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4614,-77.03308500000003,-12.048552
Lima,Lima,LIMA,"4,615",Casa Del Oidor,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Murallas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4615,-77.02957200000003,-12.045775
Lima,Lima,LIMA,"4,616",Paseo Colón,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Paseos peatonales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4616,-77.03638490674592,-12.059805999999984
Lima,Lima,LIMA,"4,617",Plaza Dos De Mayo,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4617,-77.04283537301637,-12.046339522268685
Lima,Lima,LIMA,"4,618",Palais Concert,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Fortalezas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4618,-77.0336194490738,-12.048981753762813
Lima,Lima,LIMA,"4,619",Plaza Italia,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Plaza,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4619,-77.02270922453692,-12.050769261393608
Lima,Lima,LIMA,"4,621",Museo De Antropología Y Arqueología De La Universidad Nacional Federico Villarreal,2. MANIFESTACIONES CULTURALES,Museos y otros,Museos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4621,-77.04046299999999,-12.047574
Lima,Lima,LIMA,"4,624",Plaza Perú,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Plazuelas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4624,-77.03076313128281,-12.04498720210733
Lima,Lima,LIMA,"4,625",Pasaje Olaya,2. MANIFESTACIONES CULTURALES,Lugares Históricos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4625,-77.03126800000001,-12.046919
Lima,Lima,LIMA,"4,626",Pisco Sour,3. FOLCLORE,Gastronomía,Bebidas Típicas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4626,-77.0323,-12.0467
Lima,Lima,LIMA,"4,627",Pasaje Santa Rosa,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4627,-77.03150199999999,-12.04541
Lima,Lima,LIMA,"4,628","Iglesia Y Monasterio De Jesús, María Y José",2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Iglesias,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4628,-77.03505927976227,-12.049480000000006
Lima,Lima,LIMA,"4,629",La Gran Semana De Lima,5. ACONTECIMIENTOS PROGRAMADOS,Eventos,Festivales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4629,-77.0323,-12.0467
Lima,Barranca,SUPE,"4,631",Sitio Arqueológico Lurihuasi,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4631,-77.54972600000002,-10.877111
Lima,Barranca,SUPE,"4,632",Sitio Arqueológico Allpacoto,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4632,-77.513915,-10.875768
Lima,Lima,LIMA,"4,633",Día Nacional Del Pisco,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4633,-77.0323,-12.0467
Lima,Lima,LIMA,"4,634",Día De La Canción Criolla,5. ACONTECIMIENTOS PROGRAMADOS,Fiestas,Otros,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4634,-77.0323,-12.0467
Ancash,Carhuaz,MARCARA,"4,636",Laguna Winoyo,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4636,-77.60261535644531,-9.324410816144872
La Libertad,Trujillo,LAREDO,"4,638",Laguna De Conache,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4638,-78.95244041964338,-8.127537621073843
La Libertad,Pacasmayo,PACASMAYO,"4,640",Playa El Faro,1. SITIOS NATURALES,Costas,Playas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4640,-79.58602553638457,-7.413183350274856
La Libertad,Viru,VIRU,"4,641",Catarata Condornada,1. SITIOS NATURALES,Caídas de agua,Cataratas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4641,-78.6399033665657,-8.367675809554756
Ancash,Huaylas,SANTA CRUZ,"4,643",Nevado Chacraraju,1. SITIOS NATURALES,a. Montañas,Nevado,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4643,-77.61493200000001,-8.993346
Ancash,Carhuaz,MARCARA,"4,644",Quebrada Paccharuri,1. SITIOS NATURALES,d. Quebradas,Quebradas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4644,-77.46462099999996,-9.294003
Ancash,Carhuaz,MARCARA,"4,645",Mirador Natural Condorhuaín,1. SITIOS NATURALES,Zonas paisajísticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4645,-77.60261535644531,-9.322378092104735
Ancash,Huaylas,CARAZ,"4,646",Laguna Artesoncocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4646,-77.64466500000003,-8.974089
Puno,Puno,PUNO,"4,647",Feria De Arte Popular En Miniatura - Alasitas,3. FOLCLORE,Ferias y Mercados,Ferias Artesanales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4647,-70.028,-15.8407
Ancash,Carhuaz,MARCARA,"4,648",Laguna Lejiacocha,1. SITIOS NATURALES,g. Cuerpo de Agua,Lagunas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4648,-77.50247100000001,-9.286887
Puno,Puno,ATUNCOLLA,"4,649",Camellones O Waru Warus,"4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS",Explotaciones  Agropecuarias y Pesqueras,Agricultura,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4649,-70.09083151817327,-15.696415078186089
Lima,Lima,LIMA,"4,650",Edificio Rimac O Casa Roosevelt,2. MANIFESTACIONES CULTURALES,Arquitectura y Espacios Urbanos,Fortalezas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4650,-77.0362251865082,-12.055483906672164
Ancash,Carhuaz,MARCARA,"4,651",Quebrada Honda,1. SITIOS NATURALES,d. Quebradas,Quebradas,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4651,-77.44387153991698,-9.310594033984037
Puno,Lampa,PUCARA,"4,652",Cerámica El Torito De Pucará,3. FOLCLORE,Artesanía y Artes,Alfarería y cerámica,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4652,-70.3689,-15.042
Ancash,Yungay,YUNGAY,"4,654",Nevado Paccharuri,1. SITIOS NATURALES,a. Montañas,Nevado,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4654,-77.73728154500327,-8.93427996708423
Ancash,Yungay,YANAMA,"4,655",Mirador Natural De Huayllan,1. SITIOS NATURALES,Zonas paisajísticas,Miradores naturales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4655,-77.45472699999999,-9.025317
Ancash,Yungay,YANAMA,"4,657",Restos Arqueologicos De Quishuar,2. MANIFESTACIONES CULTURALES,Sitios Arqueológicos,Templos,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4657,-77.470707,-9.020902
Ancash,Carhuaz,MARCARA,"4,658",Pueblo De Marcará,2. MANIFESTACIONES CULTURALES,Pueblos,Tradicionales,http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=4658,-77.60379799999998,-9.322632
